station,n_rows,speed_mean,speed_q20,speed_q80,occ_mean,occ_q80,flow_mean,share_other,share_onset,share_congested,share_recovery,share_congestion_event
400238,6078,63.04891411648568,59.2,67.7,0.04883853241197762,0.0746,266.1564659427443,0.8198420533070089,0.11072721289897992,0.009213557091148404,0.060217176702862786,0.18015794669299112
400363,6078,62.76125370187561,59.6,68.4,0.05522490950970715,0.0779,272.2509049029286,0.8423823626192827,0.06646923330042777,0.011516946363935505,0.07963145771635406,0.15761763738071735
400409,6078,61.163853241197764,56.4,68.3,0.06770990457387298,0.0999,299.5526488976637,0.663211582757486,0.1549851924975321,0.025172754195459033,0.15663047054952287,0.33678841724251396
400468,6078,61.8128989799276,59.3,68.2,0.05878339914445543,0.0822,301.92036854228365,0.793024021059559,0.08604804211911814,0.02451464297466272,0.09641329384666009,0.20697597894044092
400576,6078,58.51108917407042,53.5,67.5,0.08288081605791378,0.1109,296.5691016781836,0.5807831523527476,0.1803224744981902,0.023527476143468246,0.21536689700559394,0.41921684764725237
401637,6078,66.74850279697269,63.9,70.9,0.053552714708785795,0.0809,359.8252714708786,0.9346824613359658,0.023856531753866404,0.009871668311944718,0.0315893385982231,0.06531753866403422
402121,6078,60.41554787759131,59.34,67.9,0.07125778216518591,0.0844,249.7864429088516,0.8246133596577822,0.10266535044422508,0.014478446857518921,0.05824284304047384,0.17538664034221785
423148,6078,62.71864100032906,59.0,67.9,0.05423899308983218,0.075,248.7701546561369,0.8487989470220467,0.0970714050674564,0.009213557091148404,0.04491609081934847,0.15120105297795328
